"species","mirna","term_ID","term_description","observed_gene_count","background_gene_count","strength","signal","false_discovery_rate","matching_proteins_id_network","matching_proteins_labels_network","annotation","dataset","category_of_interest","enrichment_method","protein_db","taxon_id","assembly_name","stringdb_id"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.J9EAN8","J9EAN8_AEDAE","AAEL010145-PC.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q0IG29","AAEL003527","AAEL003527-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q16FB0","AAEL014839","Sidestep protein.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q16FK4","AAEL014730","AAEL014730-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q16FX6","AAEL014602","AAEL014602-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q16GL8","AAEL014337","Mitotic protein phosphatase 1 regulator, putative.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q16HK0","AAEL013997","AAEL013997-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q16HX2","AAEL013873","AAEL013873-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q16I15","AAEL013830","Bmp-induced factor.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q16I87","AAEL013757","AAEL013757-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q16I88","AAEL013758","AAEL013758-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q16IN4","AAEL013602","AAEL013602-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q16JH6","AAEL013331","AAEL013331-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q16L96","AAEL012723","AAEL012723-PA; Belongs to the protein kinase superfamily.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q16LK0","AAEL012627","AAEL012627-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q16LX7","AAEL012493","AAEL012493-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q16M52","AAEL012421","AAEL012421-PA; Cadherins are calcium-dependent cell adhesion proteins.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q16N85","AAEL012057","Enhancer of polycomb-like protein.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q16PL9","AAEL011604","AAEL011604-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q16PP6","AAEL011565","AAEL011565-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q16Q60","AAEL011396","Neurogenic locus delta protein.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q16R23","AAEL011105","AAEL011105-PB.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q16R38","AAEL011083","AAEL011083-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q16R65","AAEL011058","Lim domain binding protein.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q16RU6","AAEL010835","Mitogen-activated protein kinase kinase kinase.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q16SB0","AAEL010643","AAEL010643-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q16W03","AAEL009377","AAEL009377-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q16WF1","AAEL009240","AAEL009240-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q16WI5","AAEL009212","AAEL009212-PC.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q16WM1","AAEL009175","AAEL009175-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q16WM8","AAEL009173","AAEL009173-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q16WX3","AAEL009057","AAEL009057-PA; Belongs to the cyclin family.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q16XT3","AAEL008773","AAEL008773-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q16Y83","AAEL008634","Mitogen-activated protein kinase.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q16YG3","AAEL008554","AAEL008554-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q16YG8","AAEL008528","AAEL008528-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q16YZ8","AAEL008362","AAEL008362-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q16YZ9","AAEL008372","Sulfatase-1, sulf-1.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q16Z01","AAEL008371","AAEL008371-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q170K4","AAEL007888","Protein 4.1 homolog (Coracle protein), putative.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q170K8","AAEL007876","Tyrosine protein kinase with ig domain; Belongs to the protein kinase superfamily. Tyr protein kinase family.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q171J8","TOLL1A","Toll-like receptor; Belongs to the Toll-like receptor family.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q172L3","AAEL007331","AAEL007331-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q173C6","AAEL007190","AAEL007190-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q174K3","AAEL006876","AAEL006876-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q174T9","AAEL006801","Vang-like protein.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q174W8","GPRFZ2","AAEL006778-PA; Belongs to the G-protein coupled receptor Fz/Smo family.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q177R3","AAEL006057","AAEL006057-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q178Y8","AAEL005736","AAEL005736-PB.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q179S6","AAEL005528","AAEL005528-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q17A91","AAEL005372","AAEL005372-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q17BY7","AAEL004737","Lim domain binding protein.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q17C29","AAEL004715","AAEL004715-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q17C39","AAEL004717","AAEL004717-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q17C93","AAEL004651","Multiple ankyrin repeats single kh domain protein.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q17CE8","AAEL004592","Tyrosine-protein kinase.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q17D24","AAEL004351","AAEL004351-PC; Belongs to the protein kinase superfamily.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q17E44","AAEL003953","Map/microtubule affinity-regulating kinase 2,4.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q17EB3","AAEL003861","AAEL003861-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q17F07","AAEL003609","AAEL003609-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q17F08","AAEL003592","AAEL003592-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q17F71","AAEL003506","AAEL003506-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q17FI9","AAEL003373","AAEL003373-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q17GP3","AAEL002938","Skd/vacuolar sorting; Belongs to the AAA ATPase family.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q17GQ2","AAEL002932","AAEL002932-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q17H88","AAEL002769","Homeobox protein prospero/prox-1.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q17HS6","AAEL002594","AAEL002594-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q17I67","AAEL002451","Zinc finger protein.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q17IL0","AAEL002287","Trans-prenyltransferase.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q17J08","AAEL002143","AAEL002143-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q17KY4","AAEL001536","Homeobox protein abdominal-A, putative.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q17KY5","AAEL001527","AAEL001527-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q17MT6","ARK","Apaf-1 Related Killer.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q17MX1","AAEL000868","AAEL000868-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q17MX6","AAEL000908","AAEL000908-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q17MX7","AAEL000891","AAEL000891-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q17N01","AAEL000860","AAEL000860-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q17N82","AAEL000788","Matrix metalloproteinase.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Aedes aegypti","aae-mir-34-5p","GO:0022008","Neurogenesis",87,941,0.43,1.17,1.56e-13,"7159.Q17NC1","AAEL000729","AAEL000729-PA.","GO Biological Process","neuro","stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
